id;title;price_value;price_currency;price_uah;price_raw;location_raw;image_url;ad_url;created_at
749663808;Mateng мульчер, косареа садова, мульчатор;1450;USD;61234;None;{'city': {'id': 369, 'name': 'Чернівці', 'normalized_name': 'chernovtsy'}, 'region': {'id': 18, 'name': 'Чернівецька область', 'normalized_name': 'chv'}};"https://ireland.apollo.olxcdn.com:443/v1/files/24nb3kp5tprd3-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/mateng-mulcher-kosarea-sadova-mulchator-IDOJwNK.html;2025-12-17T12:18:29.555296+00:00
892640114;Трактор John Deere 8400 1995 рік. мотор 260к.с. простий  і надійний;39500;EUR;1955159;None;{'city': {'id': 268, 'name': 'Київ', 'normalized_name': 'kiev'}, 'district': {'id': 1, 'name': 'Голосіївський'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/8aiy19w0jwct-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/traktor-john-deere-8400-1995-rk-motor-260k-s-prostiy-nadyniy-IDYpqtc.html;2025-12-17T12:18:29.548646+00:00
719700895;NEW Odes 650cm3 V-Tvin,EFI Доставка по Укр.;8399;USD;354693;None;{'city': {'id': 38697, 'name': 'Пасіки-Зубрицькі', 'normalized_name': 'paseki-zubritskie'}, 'region': {'id': 5, 'name': 'Львівська область', 'normalized_name': 'lv'}};"https://ireland.apollo.olxcdn.com:443/v1/files/7lb5kd8s2cxz1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/new-odes-650cm3-v-tvin-efi-dostavka-po-ukr-IDMHN4X.html;2025-12-17T12:18:28.883198+00:00
909388123;"Продам авто Шкода А5 в хорошому стані.
2008рік.";3999;USD;168879;None;{'city': {'id': 2563, 'name': 'Микуличин', 'normalized_name': 'mikulichin'}, 'region': {'id': 13, 'name': 'Івано-Франківська область', 'normalized_name': 'if'}};"https://ireland.apollo.olxcdn.com:443/v1/files/ii1b1ujli122-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-avto-shkoda-a5-v-horoshomu-stan-2008rk-IDZxHon.html;2025-12-17T12:18:28.871506+00:00
800931447;Торговий прицеп кіоск, фасфуд, кавярня, кухня на колесах;195000;UAH;195000;None;{'city': {'id': 12053, 'name': 'Слобожанське', 'normalized_name': 'yubileynoe'}, 'region': {'id': 21, 'name': 'Дніпропетровська область', 'normalized_name': 'dnp'}};"https://ireland.apollo.olxcdn.com:443/v1/files/115vm72t1316-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/torgoviy-pritsep-kosk-fasfud-kavyarnya-kuhnya-na-kolesah-IDScCR9.html;2025-12-17T12:18:28.863414+00:00
838778203;Forte ft200gy-c5b;850;USD;35895;None;{'city': {'id': 56555, 'name': 'Бакоти', 'normalized_name': 'bakoty'}, 'region': {'id': 11, 'name': 'Тернопільська область', 'normalized_name': 'ter'}};"https://ireland.apollo.olxcdn.com:443/v1/files/6aofg7r3qnu03-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/forte-ft200gy-c5b-IDULqvH.html;2025-12-17T12:18:28.852070+00:00
909465423;Volkswagen Touran      2018;8400;USD;354735;None;{'city': {'id': 268, 'name': 'Київ', 'normalized_name': 'kiev'}, 'district': {'id': 15, 'name': 'Святошинський'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/nlvc8cntqq7x1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/volkswagen-touran-2018-IDZy1w9.html;2025-12-17T12:18:28.142275+00:00
891439717;Renault Logan Газ/Бензин Надійне Комфотрте економне Авто!!!;3350;USD;141471;None;{'city': {'id': 69, 'name': 'Кропивницький', 'normalized_name': 'kropivnitskiy'}, 'district': {'id': 109, 'name': 'Подільський'}, 'region': {'id': 7, 'name': 'Кіровоградська область', 'normalized_name': 'kir'}};"https://ireland.apollo.olxcdn.com:443/v1/files/53j8gc4kt3b93-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/renault-logan-gaz-benzin-nadyne-komfotrte-ekonomne-avto-IDYkobX.html;2025-12-17T12:18:28.134343+00:00
909353651;Honda NC750X Хонда турист.;5900;USD;249159;None;{'city': {'id': 206, 'name': 'Лубни', 'normalized_name': 'lubny'}, 'region': {'id': 15, 'name': 'Полтавська область', 'normalized_name': 'pol'}};"https://ireland.apollo.olxcdn.com:443/v1/files/z91p5a2og51b2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/honda-nc750x-honda-turist-IDZxyqn.html;2025-12-17T12:18:28.118426+00:00
708299672;Трактор т16мгУ1.;4600;USD;194259;None;{'city': {'id': 319, 'name': 'Верхньодніпровськ', 'normalized_name': 'verkhnedneprovsk'}, 'region': {'id': 21, 'name': 'Дніпропетровська область', 'normalized_name': 'dnp'}};"https://ireland.apollo.olxcdn.com:443/v1/files/ui0srm3cjeo33-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/traktor-t16mgu1-IDLWX6g.html;2025-12-17T12:18:28.104977+00:00
